dataset,sample_id,class,label,image_score,query_path
mvtec,000,screw,0,0.9820441007614136,dataset\MVTec\screw/test/good/000.png
mvtec,001,screw,0,0.9874299168586731,dataset\MVTec\screw/test/good/001.png
mvtec,002,screw,0,0.9772655367851257,dataset\MVTec\screw/test/good/002.png
mvtec,003,screw,0,0.9835551381111145,dataset\MVTec\screw/test/good/003.png
mvtec,004,screw,0,0.9942723512649536,dataset\MVTec\screw/test/good/004.png
mvtec,005,screw,0,0.9912249445915222,dataset\MVTec\screw/test/good/005.png
mvtec,006,screw,0,0.9860503077507019,dataset\MVTec\screw/test/good/006.png
mvtec,007,screw,0,0.9771389365196228,dataset\MVTec\screw/test/good/007.png
mvtec,008,screw,0,0.9938254356384277,dataset\MVTec\screw/test/good/008.png
mvtec,009,screw,0,0.9777565002441406,dataset\MVTec\screw/test/good/009.png
mvtec,010,screw,0,0.9889007806777954,dataset\MVTec\screw/test/good/010.png
mvtec,011,screw,0,0.9841692447662354,dataset\MVTec\screw/test/good/011.png
mvtec,012,screw,0,0.985519289970398,dataset\MVTec\screw/test/good/012.png
mvtec,013,screw,0,0.9903342127799988,dataset\MVTec\screw/test/good/013.png
mvtec,014,screw,0,0.9949969053268433,dataset\MVTec\screw/test/good/014.png
mvtec,015,screw,0,0.9814321994781494,dataset\MVTec\screw/test/good/015.png
mvtec,016,screw,0,0.9892760515213013,dataset\MVTec\screw/test/good/016.png
mvtec,017,screw,0,0.9895113110542297,dataset\MVTec\screw/test/good/017.png
mvtec,018,screw,0,0.9831364750862122,dataset\MVTec\screw/test/good/018.png
mvtec,019,screw,0,0.9923566579818726,dataset\MVTec\screw/test/good/019.png
mvtec,020,screw,0,0.9911348819732666,dataset\MVTec\screw/test/good/020.png
mvtec,021,screw,0,0.9905101656913757,dataset\MVTec\screw/test/good/021.png
mvtec,022,screw,0,0.9907901287078857,dataset\MVTec\screw/test/good/022.png
mvtec,023,screw,0,0.9886142015457153,dataset\MVTec\screw/test/good/023.png
mvtec,024,screw,0,0.9834737181663513,dataset\MVTec\screw/test/good/024.png
mvtec,025,screw,0,0.9892358183860779,dataset\MVTec\screw/test/good/025.png
mvtec,026,screw,0,0.9902445077896118,dataset\MVTec\screw/test/good/026.png
mvtec,027,screw,0,0.9830301403999329,dataset\MVTec\screw/test/good/027.png
mvtec,028,screw,0,0.9906071424484253,dataset\MVTec\screw/test/good/028.png
mvtec,029,screw,0,0.989586591720581,dataset\MVTec\screw/test/good/029.png
mvtec,030,screw,0,0.9887592792510986,dataset\MVTec\screw/test/good/030.png
mvtec,031,screw,0,0.987226665019989,dataset\MVTec\screw/test/good/031.png
mvtec,032,screw,0,0.9835236668586731,dataset\MVTec\screw/test/good/032.png
mvtec,033,screw,0,0.9763137698173523,dataset\MVTec\screw/test/good/033.png
mvtec,034,screw,0,0.979486346244812,dataset\MVTec\screw/test/good/034.png
mvtec,035,screw,0,0.991463840007782,dataset\MVTec\screw/test/good/035.png
mvtec,036,screw,0,0.9891336560249329,dataset\MVTec\screw/test/good/036.png
mvtec,037,screw,0,0.9907509684562683,dataset\MVTec\screw/test/good/037.png
